year,week_end_date,geography,age_group,sex,observed,expected,excess
2023,2023-01-08,England,0-29,female,19,20,-1
2023,2023-01-08,England,0-29,male,21,21,0
2023,2023-01-08,England,0-29,people,40,41,-1
2023,2023-01-08,England,30-44,female,20,20,0
2023,2023-01-08,England,30-44,male,18,21,-3
2023,2023-01-08,England,30-44,people,38,40,-2
2023,2023-01-08,England,45-49,female,13,13,-0
2023,2023-01-08,England,45-49,male,14,14,-0
2023,2023-01-08,England,45-49,people,27,28,-1
2023,2023-01-08,England,50-54,female,22,22,-0
2023,2023-01-08,England,50-54,male,26,23,3
2023,2023-01-08,England,50-54,people,48,45,3
2023,2023-01-08,England,55-59,female,36,35,1
2023,2023-01-08,England,55-59,male,41,37,4
2023,2023-01-08,England,55-59,people,77,72,5
2023,2023-01-08,England,60-64,female,50,53,-3
2023,2023-01-08,England,60-64,male,58,56,2
2023,2023-01-08,England,60-64,people,108,109,-1
2023,2023-01-08,England,65-69,female,77,80,-3
2023,2023-01-08,England,65-69,male,87,85,2
2023,2023-01-08,England,65-69,people,164,165,-1
2023,2023-01-08,England,70-74,female,124,126,-2
2023,2023-01-08,England,70-74,male,130,133,-3
2023,2023-01-08,England,70-74,people,254,259,-5
2023,2023-01-08,England,75-79,female,197,200,-3
2023,2023-01-08,England,75-79,male,216,212,4
2023,2023-01-08,England,75-79,people,413,413,0
2023,2023-01-08,England,80-84,female,325,301,24
2023,2023-01-08,England,80-84,male,312,318,-6
2023,2023-01-08,England,80-84,people,637,619,18
2023,2023-01-08,England,85-89,female,284,302,-18
2023,2023-01-08,England,85-89,male,317,320,-3
2023,2023-01-08,England,85-89,people,601,622,-21
2023,2023-01-08,England,90+,female,376,395,-19
2023,2023-01-08,England,90+,male,396,418,-22
2023,2023-01-08,England,90+,people,772,813,-41
2023,2023-01-08,England,All ages,female,1543,1563,-20
2023,2023-01-08,England,All ages,male,1636,1654,-18
2023,2023-01-08,England,All ages,people,3179,3217,-38
2023,2023-01-08,England and Wales,0-29,female,20,21,-1
2023,2023-01-08,England and Wales,0-29,male,22,22,0
2023,2023-01-08,England and Wales,0-29,people,42,43,-1
2023,2023-01-08,England and Wales,30-44,female,21,21,0
2023,2023-01-08,England and Wales,30-44,male,19,22,-3
2023,2023-01-08,England and Wales,30-44,people,40,42,-2
2023,2023-01-08,England and Wales,45-49,female,14,14,-0
2023,2023-01-08,England and Wales,45-49,male,15,15,0
2023,2023-01-08,England and Wales,45-49,people,29,29,0
2023,2023-01-08,England and Wales,50-54,female,23,23,-0
2023,2023-01-08,England and Wales,50-54,male,27,25,2
2023,2023-01-08,England and Wales,50-54,people,50,48,2
2023,2023-01-08,England and Wales,55-59,female,38,37,1
2023,2023-01-08,England and Wales,55-59,male,43,39,4
2023,2023-01-08,England and Wales,55-59,people,81,76,5
2023,2023-01-08,England and Wales,60-64,female,53,56,-3
2023,2023-01-08,England and Wales,60-64,male,61,59,2
2023,2023-01-08,England and Wales,60-64,people,114,114,-0
2023,2023-01-08,England and Wales,65-69,female,81,85,-4
2023,2023-01-08,England and Wales,65-69,male,91,89,2
2023,2023-01-08,England and Wales,65-69,people,172,174,-2
2023,2023-01-08,England and Wales,70-74,female,131,133,-2
2023,2023-01-08,England and Wales,70-74,male,137,140,-3
2023,2023-01-08,England and Wales,70-74,people,268,273,-5
2023,2023-01-08,England and Wales,75-79,female,208,211,-3
2023,2023-01-08,England and Wales,75-79,male,227,223,4
2023,2023-01-08,England and Wales,75-79,people,435,434,1
2023,2023-01-08,England and Wales,80-84,female,342,317,25
2023,2023-01-08,England and Wales,80-84,male,330,335,-5
2023,2023-01-08,England and Wales,80-84,people,672,652,20
2023,2023-01-08,England and Wales,85-89,female,299,318,-19
2023,2023-01-08,England and Wales,85-89,male,333,337,-4
2023,2023-01-08,England and Wales,85-89,people,632,655,-23
2023,2023-01-08,England and Wales,90+,female,399,416,-17
2023,2023-01-08,England and Wales,90+,male,420,440,-20
2023,2023-01-08,England and Wales,90+,people,819,856,-37
2023,2023-01-08,England and Wales,All ages,female,1629,1646,-17
2023,2023-01-08,England and Wales,All ages,male,1725,1742,-17
2023,2023-01-08,England and Wales,All ages,people,3354,3388,-34
2023,2023-01-08,Wales,0-29,female,1,1,-0
2023,2023-01-08,Wales,0-29,male,1,1,-0
2023,2023-01-08,Wales,0-29,people,2,2,-0
2023,2023-01-08,Wales,30-44,female,1,1,-0
2023,2023-01-08,Wales,30-44,male,1,1,-0
