year,week,week_label,week_start_date,week_end_date,geography,age_group,sex,deaths,population,age_coarse,weeknumber,timeindex,logpop,expected_deaths,excess_deaths
2023,1,2023-W01,2023-01-02,2023-01-08,England,0-29,male,21,9636744,70+,1,417,16,21,0
2023,1,2023-W01,2023-01-02,2023-01-08,England,0-29,female,19,10030080,70+,1,417,16,20,-1
2023,1,2023-W01,2023-01-02,2023-01-08,England,30-44,male,18,5101806,70+,1,417,15,21,-3
2023,1,2023-W01,2023-01-02,2023-01-08,England,30-44,female,20,5310042,70+,1,417,15,20,0
2023,1,2023-W01,2023-01-02,2023-01-08,England,45-49,male,14,1700602,30-69,1,417,14,14,-0
2023,1,2023-W01,2023-01-02,2023-01-08,England,45-49,female,13,1770014,30-69,1,417,14,13,-0
2023,1,2023-W01,2023-01-02,2023-01-08,England,50-54,male,26,1700602,30-69,1,417,14,23,3
2023,1,2023-W01,2023-01-02,2023-01-08,England,50-54,female,22,1770014,30-69,1,417,14,22,-0
2023,1,2023-W01,2023-01-02,2023-01-08,England,55-59,male,41,1700602,30-69,1,417,14,37,4
2023,1,2023-W01,2023-01-02,2023-01-08,England,55-59,female,36,1770014,30-69,1,417,14,35,1
2023,1,2023-W01,2023-01-02,2023-01-08,England,60-64,male,58,1700602,30-69,1,417,14,56,2
2023,1,2023-W01,2023-01-02,2023-01-08,England,60-64,female,50,1770014,30-69,1,417,14,53,-3
2023,1,2023-W01,2023-01-02,2023-01-08,England,65-69,male,87,1417168,30-69,1,417,14,85,2
2023,1,2023-W01,2023-01-02,2023-01-08,England,65-69,female,77,1475012,30-69,1,417,14,80,-3
2023,1,2023-W01,2023-01-02,2023-01-08,England,70-74,male,130,1417168,70+,1,417,14,133,-3
2023,1,2023-W01,2023-01-02,2023-01-08,England,70-74,female,124,1475012,70+,1,417,14,126,-2
2023,1,2023-W01,2023-01-02,2023-01-08,England,75-79,male,216,1133735,70+,1,417,14,212,4
2023,1,2023-W01,2023-01-02,2023-01-08,England,75-79,female,197,1180009,70+,1,417,14,200,-3
2023,1,2023-W01,2023-01-02,2023-01-08,England,80-84,male,312,850301,70+,1,417,14,318,-6
2023,1,2023-W01,2023-01-02,2023-01-08,England,80-84,female,325,885007,70+,1,417,14,301,24
2023,1,2023-W01,2023-01-02,2023-01-08,England,85-89,male,317,425150,70+,1,417,13,320,-3
2023,1,2023-W01,2023-01-02,2023-01-08,England,85-89,female,284,442504,70+,1,417,13,302,-18
2023,1,2023-W01,2023-01-02,2023-01-08,England,90+,male,396,283434,70+,1,417,13,418,-22
2023,1,2023-W01,2023-01-02,2023-01-08,England,90+,female,376,295002,70+,1,417,13,395,-19
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,0-29,male,1,507197,70+,1,417,13,1,-0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,0-29,female,1,527899,70+,1,417,13,1,-0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,30-44,male,1,268516,70+,1,417,13,1,-0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,30-44,female,1,279476,70+,1,417,13,1,-0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,45-49,male,1,89505,30-69,1,417,11,1,0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,45-49,female,1,93159,30-69,1,417,11,1,0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,50-54,male,1,89505,30-69,1,417,11,1,-0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,50-54,female,1,93159,30-69,1,417,11,1,-0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,55-59,male,2,89505,30-69,1,417,11,2,0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,55-59,female,2,93159,30-69,1,417,11,2,0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,60-64,male,3,89505,30-69,1,417,11,3,0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,60-64,female,3,93159,30-69,1,417,11,3,0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,65-69,male,4,74588,30-69,1,417,11,5,-1
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,65-69,female,4,77632,30-69,1,417,11,4,-0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,70-74,male,7,74588,70+,1,417,11,7,-0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,70-74,female,7,77632,70+,1,417,11,7,0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,75-79,male,11,59670,70+,1,417,11,11,-0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,75-79,female,11,62106,70+,1,417,11,11,0
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,80-84,male,18,44753,70+,1,417,11,17,1
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,80-84,female,17,46579,70+,1,417,11,16,1
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,85-89,male,16,22376,70+,1,417,10,17,-1
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,85-89,female,15,23290,70+,1,417,10,16,-1
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,90+,male,24,14918,70+,1,417,10,22,2
2023,1,2023-W01,2023-01-02,2023-01-08,Wales,90+,female,23,15526,70+,1,417,10,21,2
2023,2,2023-W02,2023-01-09,2023-01-15,England,0-29,male,21,9636744,70+,2,418,16,21,0
2023,2,2023-W02,2023-01-09,2023-01-15,England,0-29,female,20,10030080,70+,2,418,16,19,1
2023,2,2023-W02,2023-01-09,2023-01-15,England,30-44,male,20,5101806,70+,2,418,15,20,-0
2023,2,2023-W02,2023-01-09,2023-01-15,England,30-44,female,18,5310042,70+,2,418,15,19,-1
2023,2,2023-W02,2023-01-09,2023-01-15,England,45-49,male,14,1700602,30-69,2,418,14,14,0
2023,2,2023-W02,2023-01-09,2023-01-15,England,45-49,female,12,1770014,30-69,2,418,14,13,-1
2023,2,2023-W02,2023-01-09,2023-01-15,England,50-54,male,22,1700602,30-69,2,418,14,22,-0
2023,2,2023-W02,2023-01-09,2023-01-15,England,50-54,female,20,1770014,30-69,2,418,14,21,-1
2023,2,2023-W02,2023-01-09,2023-01-15,England,55-59,male,38,1700602,30-69,2,418,14,36,2
2023,2,2023-W02,2023-01-09,2023-01-15,England,55-59,female,31,1770014,30-69,2,418,14,34,-3
2023,2,2023-W02,2023-01-09,2023-01-15,England,60-64,male,52,1700602,30-69,2,418,14,54,-2
2023,2,2023-W02,2023-01-09,2023-01-15,England,60-64,female,52,1770014,30-69,2,418,14,51,1
2023,2,2023-W02,2023-01-09,2023-01-15,England,65-69,male,87,1417168,30-69,2,418,14,82,5
2023,2,2023-W02,2023-01-09,2023-01-15,England,65-69,female,71,1475012,30-69,2,418,14,77,-6
2023,2,2023-W02,2023-01-09,2023-01-15,England,70-74,male,144,1417168,70+,2,418,14,131,13
2023,2,2023-W02,2023-01-09,2023-01-15,England,70-74,female,134,1475012,70+,2,418,14,124,10
2023,2,2023-W02,2023-01-09,2023-01-15,England,75-79,male,221,1133735,70+,2,418,14,209,12
2023,2,2023-W02,2023-01-09,2023-01-15,England,75-79,female,204,1180009,70+,2,418,14,198,6
2023,2,2023-W02,2023-01-09,2023-01-15,England,80-84,male,313,850301,70+,2,418,14,314,-1
2023,2,2023-W02,2023-01-09,2023-01-15,England,80-84,female,302,885007,70+,2,418,14,296,6
2023,2,2023-W02,2023-01-09,2023-01-15,England,85-89,male,310,425150,70+,2,418,13,315,-5
2023,2,2023-W02,2023-01-09,2023-01-15,England,85-89,female,299,442504,70+,2,418,13,298,1
2023,2,2023-W02,2023-01-09,2023-01-15,England,90+,male,444,283434,70+,2,418,13,412,32
2023,2,2023-W02,2023-01-09,2023-01-15,England,90+,female,385,295002,70+,2,418,13,389,-4
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,0-29,male,1,507197,70+,2,418,13,1,-0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,0-29,female,1,527899,70+,2,418,13,1,-0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,30-44,male,1,268516,70+,2,418,13,1,-0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,30-44,female,1,279476,70+,2,418,13,1,-0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,45-49,male,1,89505,30-69,2,418,11,1,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,45-49,female,1,93159,30-69,2,418,11,1,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,50-54,male,1,89505,30-69,2,418,11,1,-0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,50-54,female,1,93159,30-69,2,418,11,1,-0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,55-59,male,2,89505,30-69,2,418,11,2,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,55-59,female,2,93159,30-69,2,418,11,2,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,60-64,male,3,89505,30-69,2,418,11,3,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,60-64,female,3,93159,30-69,2,418,11,3,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,65-69,male,4,74588,30-69,2,418,11,4,-0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,65-69,female,4,77632,30-69,2,418,11,4,-0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,70-74,male,7,74588,70+,2,418,11,7,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,70-74,female,7,77632,70+,2,418,11,7,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,75-79,male,12,59670,70+,2,418,11,11,1
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,75-79,female,10,62106,70+,2,418,11,10,-0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,80-84,male,16,44753,70+,2,418,11,17,-1
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,80-84,female,15,46579,70+,2,418,11,16,-1
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,85-89,male,17,22376,70+,2,418,10,17,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,85-89,female,16,23290,70+,2,418,10,16,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,90+,male,22,14918,70+,2,418,10,22,0
2023,2,2023-W02,2023-01-09,2023-01-15,Wales,90+,female,23,15526,70+,2,418,10,21,2
2023,3,2023-W03,2023-01-16,2023-01-22,England,0-29,male,20,9636744,70+,3,419,16,20,-0
2023,3,2023-W03,2023-01-16,2023-01-22,England,0-29,female,19,10030080,70+,3,419,16,19,0
2023,3,2023-W03,2023-01-16,2023-01-22,England,30-44,male,20,5101806,70+,3,419,15,20,0
2023,3,2023-W03,2023-01-16,2023-01-22,England,30-44,female,21,5310042,70+,3,419,15,19,2
2023,3,2023-W03,2023-01-16,2023-01-22,England,45-49,male,13,1700602,30-69,3,419,14,13,-0
2023,3,2023-W03,2023-01-16,2023-01-22,England,45-49,female,13,1770014,30-69,3,419,14,13,0
2023,3,2023-W03,2023-01-16,2023-01-22,England,50-54,male,23,1700602,30-69,3,419,14,22,1
2023,3,2023-W03,2023-01-16,2023-01-22,England,50-54,female,21,1770014,30-69,3,419,14,21,0
2023,3,2023-W03,2023-01-16,2023-01-22,England,55-59,male,36,1700602,30-69,3,419,14,35,1
2023,3,2023-W03,2023-01-16,2023-01-22,England,55-59,female,36,1770014,30-69,3,419,14,33,3
2023,3,2023-W03,2023-01-16,2023-01-22,England,60-64,male,58,1700602,30-69,3,419,14,53,5
2023,3,2023-W03,2023-01-16,2023-01-22,England,60-64,female,53,1770014,30-69,3,419,14,50,3
2023,3,2023-W03,2023-01-16,2023-01-22,England,65-69,male,72,1417168,30-69,3,419,14,80,-8
2023,3,2023-W03,2023-01-16,2023-01-22,England,65-69,female,78,1475012,30-69,3,419,14,76,2
2023,3,2023-W03,2023-01-16,2023-01-22,England,70-74,male,131,1417168,70+,3,419,14,128,3
2023,3,2023-W03,2023-01-16,2023-01-22,England,70-74,female,125,1475012,70+,3,419,14,121,4
2023,3,2023-W03,2023-01-16,2023-01-22,England,75-79,male,207,1133735,70+,3,419,14,204,3
2023,3,2023-W03,2023-01-16,2023-01-22,England,75-79,female,200,1180009,70+,3,419,14,193,7
2023,3,2023-W03,2023-01-16,2023-01-22,England,80-84,male,333,850301,70+,3,419,14,306,27
2023,3,2023-W03,2023-01-16,2023-01-22,England,80-84,female,293,885007,70+,3,419,14,289,4
2023,3,2023-W03,2023-01-16,2023-01-22,England,85-89,male,317,425150,70+,3,419,13,307,10
2023,3,2023-W03,2023-01-16,2023-01-22,England,85-89,female,277,442504,70+,3,419,13,290,-13
2023,3,2023-W03,2023-01-16,2023-01-22,England,90+,male,406,283434,70+,3,419,13,402,4
2023,3,2023-W03,2023-01-16,2023-01-22,England,90+,female,397,295002,70+,3,419,13,380,17
2023,3,2023-W03,2023-01-16,2023-01-22,Wales,0-29,male,1,507197,70+,3,419,13,1,-0
2023,3,2023-W03,2023-01-16,2023-01-22,Wales,0-29,female,1,527899,70+,3,419,13,1,-0
2023,3,2023-W03,2023-01-16,2023-01-22,Wales,30-44,male,1,268516,70+,3,419,13,1,-0
2023,3,2023-W03,2023-01-16,2023-01-22,Wales,30-44,female,1,279476,70+,3,419,13,1,0
2023,3,2023-W03,2023-01-16,2023-01-22,Wales,45-49,male,1,89505,30-69,3,419,11,1,0
2023,3,2023-W03,2023-01-16,2023-01-22,Wales,45-49,female,1,93159,30-69,3,419,11,1,0
2023,3,2023-W03,2023-01-16,2023-01-22,Wales,50-54,male,1,89505,30-69,3,419,11,1,-0
