"year","geography","age_group","sex","population"
2015,"England","0-29","male",9337930
2016,"England","0-29","male",9375282
2017,"England","0-29","male",9412633
2018,"England","0-29","male",9449985
2019,"England","0-29","male",9487337
2020,"England","0-29","male",9524689
2021,"England","0-29","male",9562040
2022,"England","0-29","male",9599392
2023,"England","0-29","male",9636744
2024,"England","0-29","male",9674095
2015,"Wales","0-29","male",491470
2016,"Wales","0-29","male",493436
2017,"Wales","0-29","male",495402
2018,"Wales","0-29","male",497368
2019,"Wales","0-29","male",499334
2020,"Wales","0-29","male",501299
2021,"Wales","0-29","male",503265
2022,"Wales","0-29","male",505231
2023,"Wales","0-29","male",507197
2024,"Wales","0-29","male",509163
2015,"England","30-44","male",4943610
2016,"England","30-44","male",4963384
2017,"England","30-44","male",4983159
2018,"England","30-44","male",5002933
2019,"England","30-44","male",5022708
2020,"England","30-44","male",5042482
2021,"England","30-44","male",5062257
2022,"England","30-44","male",5082031
2023,"England","30-44","male",5101806
2024,"England","30-44","male",5121580
2015,"Wales","30-44","male",260190
2016,"Wales","30-44","male",261231
2017,"Wales","30-44","male",262272
2018,"Wales","30-44","male",263312
2019,"Wales","30-44","male",264353
2020,"Wales","30-44","male",265394
2021,"Wales","30-44","male",266435
2022,"Wales","30-44","male",267475
2023,"Wales","30-44","male",268516
2024,"Wales","30-44","male",269557
2015,"England","45-49","male",1647870
2016,"England","45-49","male",1654461
2017,"England","45-49","male",1661053
2018,"England","45-49","male",1667644
2019,"England","45-49","male",1674236
2020,"England","45-49","male",1680827
2021,"England","45-49","male",1687419
2022,"England","45-49","male",1694010
2023,"England","45-49","male",1700602
2024,"England","45-49","male",1707193
2015,"Wales","45-49","male",86730
2016,"Wales","45-49","male",87077
2017,"Wales","45-49","male",87424
2018,"Wales","45-49","male",87771
2019,"Wales","45-49","male",88118
2020,"Wales","45-49","male",88465
2021,"Wales","45-49","male",88812
2022,"Wales","45-49","male",89158
2023,"Wales","45-49","male",89505
2024,"Wales","45-49","male",89852
2015,"England","50-54","male",1647870
2016,"England","50-54","male",1654461
2017,"England","50-54","male",1661053
2018,"England","50-54","male",1667644
2019,"England","50-54","male",1674236
2020,"England","50-54","male",1680827
2021,"England","50-54","male",1687419
2022,"England","50-54","male",1694010
2023,"England","50-54","male",1700602
2024,"England","50-54","male",1707193
2015,"Wales","50-54","male",86730
2016,"Wales","50-54","male",87077
2017,"Wales","50-54","male",87424
2018,"Wales","50-54","male",87771
2019,"Wales","50-54","male",88118
2020,"Wales","50-54","male",88465
2021,"Wales","50-54","male",88812
2022,"Wales","50-54","male",89158
2023,"Wales","50-54","male",89505
2024,"Wales","50-54","male",89852
2015,"England","55-59","male",1647870
2016,"England","55-59","male",1654461
2017,"England","55-59","male",1661053
2018,"England","55-59","male",1667644
2019,"England","55-59","male",1674236
2020,"England","55-59","male",1680827
2021,"England","55-59","male",1687419
2022,"England","55-59","male",1694010
2023,"England","55-59","male",1700602
2024,"England","55-59","male",1707193
2015,"Wales","55-59","male",86730
2016,"Wales","55-59","male",87077
2017,"Wales","55-59","male",87424
2018,"Wales","55-59","male",87771
2019,"Wales","55-59","male",88118
2020,"Wales","55-59","male",88465
2021,"Wales","55-59","male",88812
2022,"Wales","55-59","male",89158
2023,"Wales","55-59","male",89505
2024,"Wales","55-59","male",89852
2015,"England","60-64","male",1647870
2016,"England","60-64","male",1654461
2017,"England","60-64","male",1661053
2018,"England","60-64","male",1667644
2019,"England","60-64","male",1674236
2020,"England","60-64","male",1680827
2021,"England","60-64","male",1687419
2022,"England","60-64","male",1694010
2023,"England","60-64","male",1700602
2024,"England","60-64","male",1707193
2015,"Wales","60-64","male",86730
2016,"Wales","60-64","male",87077
2017,"Wales","60-64","male",87424
2018,"Wales","60-64","male",87771
2019,"Wales","60-64","male",88118
2020,"Wales","60-64","male",88465
2021,"Wales","60-64","male",88812
2022,"Wales","60-64","male",89158
2023,"Wales","60-64","male",89505
2024,"Wales","60-64","male",89852
2015,"England","65-69","male",1373225
2016,"England","65-69","male",1378718
2017,"England","65-69","male",1384211
2018,"England","65-69","male",1389704
2019,"England","65-69","male",1395197
2020,"England","65-69","male",1400690
2021,"England","65-69","male",1406182
2022,"England","65-69","male",1411675
2023,"England","65-69","male",1417168
2024,"England","65-69","male",1422661
2015,"Wales","65-69","male",72275
2016,"Wales","65-69","male",72564
2017,"Wales","65-69","male",72853
2018,"Wales","65-69","male",73142
2019,"Wales","65-69","male",73431
2020,"Wales","65-69","male",73720
2021,"Wales","65-69","male",74010
2022,"Wales","65-69","male",74299
2023,"Wales","65-69","male",74588
2024,"Wales","65-69","male",74877
2015,"England","70-74","male",1373225
2016,"England","70-74","male",1378718
2017,"England","70-74","male",1384211
2018,"England","70-74","male",1389704
2019,"England","70-74","male",1395197
2020,"England","70-74","male",1400690
2021,"England","70-74","male",1406182
2022,"England","70-74","male",1411675
2023,"England","70-74","male",1417168
2024,"England","70-74","male",1422661
2015,"Wales","70-74","male",72275
2016,"Wales","70-74","male",72564
2017,"Wales","70-74","male",72853
2018,"Wales","70-74","male",73142
2019,"Wales","70-74","male",73431
2020,"Wales","70-74","male",73720
2021,"Wales","70-74","male",74010
2022,"Wales","70-74","male",74299
2023,"Wales","70-74","male",74588
2024,"Wales","70-74","male",74877
2015,"England","75-79","male",1098580
2016,"England","75-79","male",1102974
2017,"England","75-79","male",1107369
2018,"England","75-79","male",1111763
2019,"England","75-79","male",1116157
2020,"England","75-79","male",1120552
2021,"England","75-79","male",1124946
2022,"England","75-79","male",1129340
2023,"England","75-79","male",1133735
2024,"England","75-79","male",1138129
2015,"Wales","75-79","male",57820
2016,"Wales","75-79","male",58051
2017,"Wales","75-79","male",58283
2018,"Wales","75-79","male",58514
2019,"Wales","75-79","male",58745
2020,"Wales","75-79","male",58976
2021,"Wales","75-79","male",59208
2022,"Wales","75-79","male",59439
2023,"Wales","75-79","male",59670
2024,"Wales","75-79","male",59902
