Age,Population,Deaths
0,100248,359
1,96491,21
2,93563,12
3,90793,8
4,86818,6
5,83828,5
6,81848,5
7,78654,4
8,75343,4
9,73250,4
10,70237,4
11,67812,4
12,65825,4
13,62488,6
14,60400,5
15,58874,7
16,56614,6
17,55313,8
18,52805,9
19,50721,9
20,50391,11
21,47837,10
22,46335,10
23,43996,10
24,42898,10
25,41741,9
26,39676,11
27,39055,12
28,37230,12
29,36094,12
30,34692,12
31,34716,13
32,32621,15
33,30976,15
34,30833,17
35,28765,18
36,28469,17
37,26409,19
38,25783,22
39,25636,24
40,25028,25
41,23897,25
42,22934,27
43,22051,27
44,20698,28
45,20340,29
46,19758,32
47,19829,38
48,18809,37
49,17114,36
50,17539,41
51,16587,42
52,15864,42
53,15951,47
54,15622,49
55,15053,52
56,13666,52
57,13446,55
58,13299,58
59,13169,63
60,12006,63
61,11731,65
62,10864,68
63,10426,73
64,11052,84
65,10957,90
66,9890,91
67,10086,102
68,9435,105
69,8614,103
70,8810,117
71,9101,131
72,8028,127
73,8551,149
74,6192,119
75,7654,166
76,7038,170
77,6604,183
78,6567,205
79,5303,185
80,5971,242
81,6050,278
82,6408,334
83,5215,305
84,4882,323
85,4853,364
86,5386,465
87,4924,480
88,4331,488
89,4694,597
90,4333,631
91,4622,768
92,3644,690
93,3694,786
94,3529,833
95,2865,754
96,3621,1049
97,3484,1130
98,3241,1167
99,3010,1169
100,2312,997
