date,cases
01/01/2020,9210
01/02/2020,9785
01/03/2020,10940
01/04/2020,10110
01/05/2020,8760
01/06/2020,7825
01/07/2020,7260
01/08/2020,7645
01/09/2020,8470
01/10/2020,9340
01/11/2020,9550
01/12/2020,10780
01/01/2021,8895
01/02/2021,9630
01/03/2021,11620
01/04/2021,9800
01/05/2021,8420
01/06/2021,7690
01/07/2021,7115
01/08/2021,7480
01/09/2021,8245
01/10/2021,9180
01/11/2021,10160
01/12/2021,11035
01/01/2022,9480
01/02/2022,10075
01/03/2022,11120
01/04/2022,10365
01/05/2022,9050
01/06/2022,8140
01/07/2022,7460
01/08/2022,7895
01/09/2022,8625
01/10/2022,8920
01/11/2022,10340
01/12/2022,11260
01/01/2023,9060
01/02/2023,9870
01/03/2023,10790
01/04/2023,10055
01/05/2023,8845
01/06/2023,7420
01/07/2023,7385
01/08/2023,7760
01/09/2023,8515
01/10/2023,9410
01/11/2023,10275
01/12/2023,10980
01/01/2024,9345
01/02/2024,10140
01/03/2024,11980
01/04/2024,10525
01/05/2024,9180
01/06/2024,8260
01/07/2024,7595
01/08/2024,8010
01/09/2024,8765
01/10/2024,9635
01/11/2024,10490
01/12/2024,11320
01/01/2025,8975
01/02/2025,9725
01/03/2025,10630
01/04/2025,9950
01/05/2025,8715
01/06/2025,7850
01/07/2025,7245
01/08/2025,7080
01/09/2025,8430
01/10/2025,9325
01/11/2025,10195
01/12/2025,10890
